พ.ศ.,เม.ย.,พ.ค.,มิ.ย.,ก.ค.,ส.ค.,ก.ย.,ต.ค.,พ.ย.,ธ.ค.,ม.ค.,ก.พ.,มี.ค.,"รวม
(ล้าน ลบ.ม.)",station_id,station_name,source_file
2550,639.21,"1,274.13",958.87,"1,238.29",786.68,"1,359.86","1,884.99",400.90,739.26,887.31,833.77,848.09,"11,851.36",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
2551,"1,005.09","1,150.27",702.37,683.38,528.56,933.44,"1,424.75","1,598.05",586.91,788.43,708.70,740.52,"10,850.47",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
2552,756.82,704.19,548.28,543.62,517.38,"1,014.75","1,689.19",376.71,748.26,826.03,821.93,813.49,"9,360.65",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
2553,431.10,366.71,275.26,274.52,904.99,"1,209.88","1,978.48",344.44,448.07,511.11,492.89,413.30,"7,650.75",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
2554,332.81,"1,007.90",748.05,848.97,"2,083.73","3,323.11","4,330.96",980.77,782.87,"1,565.65","1,722.38","1,453.59","19,180.80",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
2555,978.51,"1,021.97",457.29,221.96,245.23,"1,311.32",644.54,421.31,517.04,562.82,381.05,183.65,"6,946.69",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
2556,136.87,652.22,541.87,258.52,446.55,"1,178.63",898.30,229.92,240.35,243.51,270.43,231.11,"5,328.27",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
2557,180.10,480.51,537.97,257.00,239.41,514.30,290.17,263.04,145.67,187.79,251.08,310.65,"3,657.70",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
2558,206.76,362.49,199.67,124.85,184.03,341.45,358.04,122.60,115.69,107.65,107.57,97.80,"2,328.61",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
2559,115.10,144.38,80.58,159.39,117.43,715.90,"1,057.96",452.07,152.31,160.25,99.27,156.82,"3,411.46",P.17,ข้อมูลปริมาณน ้าท่าย้อนหลัง 30 ปี สถานี P.17 บ้านท่างิ ว อ.บรรพตพิสัย จ.นครสวรรค์,trend_P.17.pdf
